DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_BANCO_POSTAL_E_ECT
GO;61441;2;AC PARANAÍBA SHOPPING;11/02/2021;235,79;200300
GO;431186;4;AC COLINAS DO SUL;29/12/2020;375,8;0
GO;431186;4;AC COLINAS DO SUL;19/01/2021;0;0
GO;431186;4;AC COLINAS DO SUL;14/01/2021;53,15;0
GO;431186;4;AC COLINAS DO SUL;16/12/2020;350,3;0
GO;431186;4;AC COLINAS DO SUL;11/12/2020;201,75;0
GO;431186;4;AC COLINAS DO SUL;08/12/2020;95,2;0
GO;431186;4;AC COLINAS DO SUL;03/12/2020;0;0
GO;431186;4;AC COLINAS DO SUL;22/03/2021;413,87;0
GO;431186;4;AC COLINAS DO SUL;19/03/2021;0;0
GO;431186;4;AC COLINAS DO SUL;01/03/2021;60,1;0
GO;431186;4;AC COLINAS DO SUL;24/03/2021;473,87;0
GO;431186;4;AC COLINAS DO SUL;09/03/2021;0;0
GO;431186;4;AC COLINAS DO SUL;16/03/2021;358,37;0
GO;431186;4;AC COLINAS DO SUL;08/03/2021;431,4;0
GO;431186;4;AC COLINAS DO SUL;11/03/2021;98,3;0
GO;431186;4;AC COLINAS DO SUL;03/03/2021;86,32;0
GO;431186;4;AC COLINAS DO SUL;26/02/2021;0;0
GO;431186;4;AC COLINAS DO SUL;24/02/2021;422,15;0
GO;431186;4;AC COLINAS DO SUL;16/02/2021;209,1;0
GO;431186;4;AC COLINAS DO SUL;11/02/2021;0;0
GO;431186;4;AC COLINAS DO SUL;08/02/2021;323,93;0
GO;431186;4;AC COLINAS DO SUL;03/02/2021;152,93;0
GO;431186;4;AC COLINAS DO SUL;29/01/2021;38,58;0
GO;431186;4;AC COLINAS DO SUL;21/01/2021;241,3;0
GO;431186;4;AC COLINAS DO SUL;26/01/2021;471,5;0
GO;431186;4;AC COLINAS DO SUL;18/01/2021;466,84;0
GO;431186;4;AC COLINAS DO SUL;08/01/2021;258,1;0
GO;431186;4;AC COLINAS DO SUL;13/01/2021;46,15;0
GO;431186;4;AC COLINAS DO SUL;05/01/2021;77,2;0
GO;431186;4;AC COLINAS DO SUL;21/12/2020;216,15;0
GO;431186;4;AC COLINAS DO SUL;23/12/2020;289,75;0
GO;431186;4;AC COLINAS DO SUL;18/12/2020;174,7;0
GO;61441;2;AC PARANAÍBA SHOPPING;19/02/2021;166,69;200300
GO;61441;2;AC PARANAÍBA SHOPPING;24/02/2021;258,66;200300
GO;61441;2;AC PARANAÍBA SHOPPING;16/02/2021;628,86;200300
GO;61441;2;AC PARANAÍBA SHOPPING;04/03/2021;163,54;200300
GO;61441;2;AC PARANAÍBA SHOPPING;01/03/2021;407,04;200300
GO;61441;2;AC PARANAÍBA SHOPPING;09/03/2021;111,8;200300
GO;61441;2;AC PARANAÍBA SHOPPING;17/03/2021;324,63;200300
GO;61441;2;AC PARANAÍBA SHOPPING;22/03/2021;409,58;200300
GO;61441;2;AC PARANAÍBA SHOPPING;17/02/2021;286,4;200300
GO;61441;2;AC PARANAÍBA SHOPPING;22/02/2021;339,51;200300
GO;61441;2;AC PARANAÍBA SHOPPING;15/02/2021;547,16;200300
GO;61441;2;AC PARANAÍBA SHOPPING;12/02/2021;422,99;200300
GO;61441;2;AC PARANAÍBA SHOPPING;02/03/2021;180,94;200300
GO;61441;2;AC PARANAÍBA SHOPPING;25/02/2021;534,81;200300
GO;61441;2;AC PARANAÍBA SHOPPING;12/03/2021;604,6;200300
GO;61441;2;AC PARANAÍBA SHOPPING;15/03/2021;508,71;200300
GO;61441;2;AC PARANAÍBA SHOPPING;05/03/2021;15,28;200300
GO;61441;2;AC PARANAÍBA SHOPPING;10/03/2021;244,45;200300
GO;61441;2;AC PARANAÍBA SHOPPING;18/03/2021;380,03;200300
