DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_ECT
RO;60167;1;AC JACI PARANA;12/11/2020;1163,95;10
RO;60680;1;AC TARILANDIA;12/11/2020;580,25;10
RO;26300010;1;AC CENTRAL DE PORTO VELHO;12/11/2020;1900,73;10
RO;26300028;1;AC SAO SEBASTIAO;12/11/2020;577,01;10
RO;26300036;1;AC ARIQUEMES;12/11/2020;713,41;10
RO;26300044;1;AC GUAJARA MIRIM;12/11/2020;743,01;10
RO;26300061;1;AC CACOAL;12/11/2020;497,05;10
RO;26300087;1;AC JI-PARANA;12/11/2020;659,9;3000
RO;26300109;1;AC VILHENA;12/11/2020;685,38;10
RO;26300184;1;AC PIMENTA BUENO;12/11/2020;339,58;10
RO;26300192;1;AC OURO PRETO DO OESTE;12/11/2020;916,66;1500
RO;26300206;1;AC JARU;12/11/2020;169,36;10
RO;26300222;1;AC PRESIDENTE MEDICI;12/11/2020;490,14;700
RO;26300281;1;AC COSTA MARQUES;12/11/2020;379,37;10
RO;26300290;1;AC COLORADO DO OESTE;12/11/2020;342,78;10
RO;26300311;1;AC ROLIM DE MOURA;12/11/2020;276,09;10
RO;26300320;1;AC CEREJEIRAS;12/11/2020;360,14;10
RO;26300362;1;AC ALVORADA DO OESTE;12/11/2020;298,18;10
RO;26300371;1;AC ALTA FLORESTA DO OESTE;12/11/2020;404,9;1000
RO;26300389;1;AC MACHADINHO;12/11/2020;565,79;10
RO;26300397;1;AC NOVA BRASILANDIA;12/11/2020;388,1;10
RO;26300401;1;AC NOVA MAMORE;12/11/2020;534,18;10
RO;26300419;1;AC CABIXI;12/11/2020;259,03;10
RO;26300427;1;AC SAO MIGUEL DO GUAPORE;12/11/2020;498,59;500
RO;26300435;1;AC SANTA LUZIA;12/11/2020;262,67;10
RO;26300460;1;AC JATUARANA;12/11/2020;1630,41;10
RO;26300478;1;AC TANCREDO NEVES;12/11/2020;668,19;10
RO;26300516;1;AC CORUMBIARA;12/11/2020;369,25;10
RO;26300524;1;AC CASTANHEIRA;12/11/2020;334,25;10
RO;26300532;1;AC MIRANTE DA SERRA;12/11/2020;312,48;10
RO;26300541;1;AC SERINGUEIRAS;12/11/2020;561,39;10
RO;26300559;1;AC URUPA;12/11/2020;468,25;10
RO;26300583;1;AC BURITIS;12/11/2020;493,71;10
RO;26300591;1;AC CHUPINGUAIA;12/11/2020;327,48;10
RO;26300605;1;AC SAO FELIPE DO OESTE;12/11/2020;284,22;10
RO;26300613;1;AC SAO FRANCISCO DO GUAPORE;12/11/2020;436,61;10
RO;26300621;1;AC CAMPO NOVO;12/11/2020;330,87;10
RO;26300630;1;AC SHOPPING CIDADÃO;12/11/2020;458,5;10
RO;26300664;1;AC NOVA UNIÃO;12/11/2020;442,28;500
RO;26300672;1;AC ALTO PARAISO;12/11/2020;140,54;10
RO;26300681;1;AC GOVERNADOR JORGE TEIXEIRA;12/11/2020;382,19;10
RO;26300699;1;AC THEOBROMA;12/11/2020;398,58;10
RO;26300702;1;AC VALE DO PARAISO;12/11/2020;121,43;10
RO;26300711;1;AC NOVO HORIZONTE DO OESTE;12/11/2020;460,8;10
RO;26300729;1;AC MINISTRO ANDREAZZA;12/11/2020;1252,85;10
RO;26300745;1;AC ALTO ALEGRE DOS PARECIS;12/11/2020;54,62;500
RO;26300753;1;AC MONTE NEGRO;12/11/2020;2163,05;10
RO;26300761;1;AC PARECIS;12/11/2020;197,8;10
RO;26300770;1;AC VILA EXTREMA;12/11/2020;86,63;10
RO;26300788;1;AC PIMENTEIRAS;12/11/2020;265,47;10
RO;26300796;1;AC PRIMAVERA  DE RONDONIA;12/11/2020;154,46;10
RO;26300869;1;AC RIO CRESPO;12/11/2020;321,41;10
RO;26300877;1;AC TEIXEIROPOLIS;12/11/2020;272,85;10
RO;26300885;1;AC VALE DO ANARY;12/11/2020;517,1;10
RO;26300893;1;AC CUJUBIM;12/11/2020;485,01;10
RO;26300907;1;AC CACAULANDIA;12/11/2020;429,88;10
RO;60167;1;AC JACI PARANA;13/11/2020;1269,99;10
RO;60680;1;AC TARILANDIA;13/11/2020;216,25;10
RO;26300010;1;AC CENTRAL DE PORTO VELHO;13/11/2020;1723,28;10
RO;26300028;1;AC SAO SEBASTIAO;13/11/2020;449,4;10
RO;26300036;1;AC ARIQUEMES;13/11/2020;1161,12;10
RO;26300044;1;AC GUAJARA MIRIM;13/11/2020;605,61;10
RO;26300061;1;AC CACOAL;13/11/2020;498,86;10
RO;26300087;1;AC JI-PARANA;13/11/2020;389,84;3000
RO;26300567;1;AC ITAPUÃ DO OESTE;12/11/2020;223,5;10
RO;26300443;1;AC CANDEIAS;12/11/2020;326,92;10
RO;26300214;1;AC ESPIGAO DO OESTE;12/11/2020;471,16;800
RO;26300907;1;AC CACAULANDIA;11/11/2020;198,84;10
RO;26300893;1;AC CUJUBIM;11/11/2020;531,27;10
RO;26300885;1;AC VALE DO ANARY;11/11/2020;495,13;10
RO;26300877;1;AC TEIXEIROPOLIS;11/11/2020;272,85;10
RO;26300869;1;AC RIO CRESPO;11/11/2020;297,41;10
RO;26300796;1;AC PRIMAVERA  DE RONDONIA;11/11/2020;54,12;10
RO;26300788;1;AC PIMENTEIRAS;11/11/2020;245,47;10
RO;26300770;1;AC VILA EXTREMA;11/11/2020;485,11;10
RO;26300761;1;AC PARECIS;11/11/2020;174,8;10
RO;26300753;1;AC MONTE NEGRO;11/11/2020;1916,27;10
RO;26300745;1;AC ALTO ALEGRE DOS PARECIS;11/11/2020;79,03;500
RO;26300729;1;AC MINISTRO ANDREAZZA;11/11/2020;459,82;10
RO;26300711;1;AC NOVO HORIZONTE DO OESTE;11/11/2020;290,24;10
RO;26300702;1;AC VALE DO PARAISO;11/11/2020;154,4;10
RO;26300699;1;AC THEOBROMA;11/11/2020;856,53;10
RO;26300681;1;AC GOVERNADOR JORGE TEIXEIRA;11/11/2020;390,54;10
RO;26300672;1;AC ALTO PARAISO;11/11/2020;610,84;10
RO;26300664;1;AC NOVA UNIÃO;11/11/2020;389,28;500
RO;26300630;1;AC SHOPPING CIDADÃO;11/11/2020;423,5;10
RO;26300621;1;AC CAMPO NOVO;11/11/2020;308,47;10
RO;26300613;1;AC SAO FRANCISCO DO GUAPORE;11/11/2020;395,37;10
RO;26300605;1;AC SAO FELIPE DO OESTE;11/11/2020;388,17;10
RO;26300591;1;AC CHUPINGUAIA;11/11/2020;241,74;10
RO;26300583;1;AC BURITIS;11/11/2020;499,5;10
RO;26300567;1;AC ITAPUÃ DO OESTE;11/11/2020;215,1;10
RO;26300559;1;AC URUPA;11/11/2020;454,96;10
RO;26300541;1;AC SERINGUEIRAS;11/11/2020;426,87;10
RO;26300532;1;AC MIRANTE DA SERRA;11/11/2020;329,86;10
RO;26300524;1;AC CASTANHEIRA;11/11/2020;331,4;10
RO;26300516;1;AC CORUMBIARA;11/11/2020;271,81;10
RO;26300478;1;AC TANCREDO NEVES;11/11/2020;1544,73;10
RO;26300460;1;AC JATUARANA;11/11/2020;1038,14;10
RO;26300443;1;AC CANDEIAS;11/11/2020;380,01;10
RO;26300435;1;AC SANTA LUZIA;11/11/2020;435,73;10
RO;26300427;1;AC SAO MIGUEL DO GUAPORE;11/11/2020;466,36;500
RO;26300419;1;AC CABIXI;11/11/2020;198,38;10
RO;26300401;1;AC NOVA MAMORE;11/11/2020;581,62;10
RO;26300397;1;AC NOVA BRASILANDIA;11/11/2020;318,91;10
RO;26300389;1;AC MACHADINHO;11/11/2020;408,81;10
RO;26300371;1;AC ALTA FLORESTA DO OESTE;11/11/2020;312,44;1000
RO;26300362;1;AC ALVORADA DO OESTE;11/11/2020;473,18;10
RO;26300320;1;AC CEREJEIRAS;11/11/2020;364,63;10
RO;26300311;1;AC ROLIM DE MOURA;11/11/2020;194,22;10
RO;26300290;1;AC COLORADO DO OESTE;11/11/2020;82,3;10
RO;26300281;1;AC COSTA MARQUES;11/11/2020;210,62;10
RO;26300222;1;AC PRESIDENTE MEDICI;11/11/2020;496,02;700
RO;26300214;1;AC ESPIGAO DO OESTE;11/11/2020;170,61;800
RO;26300206;1;AC JARU;11/11/2020;320,62;10
RO;26300192;1;AC OURO PRETO DO OESTE;11/11/2020;801,71;1500
RO;26300184;1;AC PIMENTA BUENO;11/11/2020;465,99;10
RO;26300109;1;AC VILHENA;11/11/2020;684,89;10
RO;26300087;1;AC JI-PARANA;11/11/2020;304,89;3000
RO;26300061;1;AC CACOAL;11/11/2020;518,9;10
RO;26300044;1;AC GUAJARA MIRIM;11/11/2020;921,85;10
RO;26300036;1;AC ARIQUEMES;11/11/2020;1296,55;10
RO;26300028;1;AC SAO SEBASTIAO;11/11/2020;938,05;10
RO;26300010;1;AC CENTRAL DE PORTO VELHO;11/11/2020;2035,97;10
RO;60680;1;AC TARILANDIA;11/11/2020;354,83;10
RO;60167;1;AC JACI PARANA;11/11/2020;609,11;10
RO;26300907;1;AC CACAULANDIA;10/11/2020;121,42;10
RO;26300893;1;AC CUJUBIM;10/11/2020;477,16;10
RO;26300885;1;AC VALE DO ANARY;10/11/2020;465,13;10
RO;26300877;1;AC TEIXEIROPOLIS;10/11/2020;475,95;10
RO;26300869;1;AC RIO CRESPO;10/11/2020;367,96;10
RO;26300796;1;AC PRIMAVERA  DE RONDONIA;10/11/2020;340,99;10
RO;26300788;1;AC PIMENTEIRAS;10/11/2020;228,48;10
RO;26300770;1;AC VILA EXTREMA;10/11/2020;142,75;10
RO;26300761;1;AC PARECIS;10/11/2020;154,2;10
RO;26300753;1;AC MONTE NEGRO;10/11/2020;1901,52;10
RO;26300745;1;AC ALTO ALEGRE DOS PARECIS;10/11/2020;105,95;500
RO;26300729;1;AC MINISTRO ANDREAZZA;10/11/2020;609,94;10
RO;26300711;1;AC NOVO HORIZONTE DO OESTE;10/11/2020;260,24;10
RO;26300702;1;AC VALE DO PARAISO;10/11/2020;72;10
RO;26300699;1;AC THEOBROMA;10/11/2020;867,8;10
RO;26300681;1;AC GOVERNADOR JORGE TEIXEIRA;10/11/2020;390,54;10
RO;26300672;1;AC ALTO PARAISO;10/11/2020;199,79;10
RO;26300664;1;AC NOVA UNIÃO;10/11/2020;521,63;500
RO;26300630;1;AC SHOPPING CIDADÃO;10/11/2020;99,06;10
RO;26300621;1;AC CAMPO NOVO;10/11/2020;299,53;10
RO;26300613;1;AC SAO FRANCISCO DO GUAPORE;10/11/2020;293,88;10
RO;26300605;1;AC SAO FELIPE DO OESTE;10/11/2020;373,32;10
RO;26300591;1;AC CHUPINGUAIA;10/11/2020;384,77;10
RO;26300583;1;AC BURITIS;10/11/2020;489,56;10
RO;26300567;1;AC ITAPUÃ DO OESTE;10/11/2020;66,45;10
RO;26300559;1;AC URUPA;10/11/2020;472,53;10
RO;26300541;1;AC SERINGUEIRAS;10/11/2020;345,94;10
RO;26300532;1;AC MIRANTE DA SERRA;10/11/2020;449,28;10
RO;26300516;1;AC CORUMBIARA;10/11/2020;385,28;10
RO;26300478;1;AC TANCREDO NEVES;10/11/2020;3370,42;10
RO;26300460;1;AC JATUARANA;10/11/2020;389,61;10
RO;26300443;1;AC CANDEIAS;10/11/2020;493,34;10
RO;26300435;1;AC SANTA LUZIA;10/11/2020;329,62;10
RO;26300427;1;AC SAO MIGUEL DO GUAPORE;10/11/2020;376,22;500
RO;26300419;1;AC CABIXI;10/11/2020;273,02;10
RO;26300401;1;AC NOVA MAMORE;10/11/2020;396,08;10
RO;26300397;1;AC NOVA BRASILANDIA;10/11/2020;498,61;10
RO;26300389;1;AC MACHADINHO;10/11/2020;499,96;10
RO;26300371;1;AC ALTA FLORESTA DO OESTE;10/11/2020;339,32;1000
RO;26300362;1;AC ALVORADA DO OESTE;10/11/2020;287,38;10
RO;26300320;1;AC CEREJEIRAS;10/11/2020;395,43;10
RO;26300311;1;AC ROLIM DE MOURA;10/11/2020;335,06;10
RO;26300290;1;AC COLORADO DO OESTE;10/11/2020;0;10
RO;26300281;1;AC COSTA MARQUES;10/11/2020;294,87;10
RO;26300222;1;AC PRESIDENTE MEDICI;10/11/2020;259,37;700
RO;26300214;1;AC ESPIGAO DO OESTE;10/11/2020;158,47;800
RO;26300206;1;AC JARU;10/11/2020;156;10
RO;26300192;1;AC OURO PRETO DO OESTE;10/11/2020;1003,08;1500
RO;26300184;1;AC PIMENTA BUENO;10/11/2020;303,82;10
RO;26300109;1;AC VILHENA;10/11/2020;716,5;10
RO;26300087;1;AC JI-PARANA;10/11/2020;710,16;3000
RO;26300061;1;AC CACOAL;10/11/2020;642,44;10
