DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_BANCO_POSTAL_E_ECT
GO;431190;4;AC DIVINOPOLIS DE GOIAS;09/12/2020;324,31;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;07/12/2020;212,51;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;03/12/2020;16,01;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;09/11/2020;218,5;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;11/11/2020;310,1;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;13/11/2020;327,46;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;01/12/2020;395,16;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;27/11/2020;247,46;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;26/11/2020;206,66;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;24/11/2020;165,31;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;20/11/2020;20,11;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;18/11/2020;428,26;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;17/11/2020;387,46;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;19/11/2020;520,11;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;23/11/2020;57,31;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;25/11/2020;191,11;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;30/11/2020;275,16;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;02/12/2020;483,26;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;04/12/2020;105,41;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;08/12/2020;242,91;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;10/12/2020;400,11;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;05/01/2021;268,9;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;07/01/2021;358,6;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;11/01/2021;445,25;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;06/11/2020;130,9;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;15/12/2020;593,96;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;17/12/2020;180,96;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;21/12/2020;350,41;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;23/12/2020;445,01;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;29/12/2020;651,46;0
GO;431190;4;AC DIVINOPOLIS DE GOIAS;04/01/2021;217,06;0
GO;431189;4;AC DAMIANOPOLIS;08/01/2021;282,57;0
GO;431189;4;AC DAMIANOPOLIS;28/12/2020;397,47;0
GO;431189;4;AC DAMIANOPOLIS;11/12/2020;350,97;0
GO;431189;4;AC DAMIANOPOLIS;09/12/2020;292,17;0
GO;431189;4;AC DAMIANOPOLIS;07/12/2020;248,44;0
GO;431189;4;AC DAMIANOPOLIS;03/12/2020;433,66;0
GO;431189;4;AC DAMIANOPOLIS;01/12/2020;190;0
GO;431189;4;AC DAMIANOPOLIS;26/11/2020;397,87;0
GO;431189;4;AC DAMIANOPOLIS;24/11/2020;372,07;0
GO;431189;4;AC DAMIANOPOLIS;20/11/2020;272,07;0
GO;431189;4;AC DAMIANOPOLIS;06/01/2021;465,07;0
GO;431189;4;AC DAMIANOPOLIS;04/01/2021;302,77;0
GO;431189;4;AC DAMIANOPOLIS;29/12/2020;578,77;0
GO;431189;4;AC DAMIANOPOLIS;23/12/2020;397,47;0
GO;431203;4;AC PIRENOPOLIS;06/11/2020;3461,81;0
GO;431203;4;AC PIRENOPOLIS;10/11/2020;3482,11;0
GO;431203;4;AC PIRENOPOLIS;12/11/2020;4585,31;0
GO;431189;4;AC DAMIANOPOLIS;21/12/2020;313,92;0
GO;431189;4;AC DAMIANOPOLIS;17/12/2020;539,72;0
GO;431189;4;AC DAMIANOPOLIS;30/11/2020;403,06;0
GO;431189;4;AC DAMIANOPOLIS;18/11/2020;168,38;0
GO;431189;4;AC DAMIANOPOLIS;16/11/2020;547,38;0
GO;431189;4;AC DAMIANOPOLIS;12/11/2020;359,39;0
GO;431203;4;AC PIRENOPOLIS;16/11/2020;3891,51;0
GO;431203;4;AC PIRENOPOLIS;18/11/2020;5401,01;0
GO;431203;4;AC PIRENOPOLIS;20/11/2020;6310,91;0
GO;431203;4;AC PIRENOPOLIS;24/11/2020;3773,32;0
GO;431203;4;AC PIRENOPOLIS;26/11/2020;4689,27;0
GO;431203;4;AC PIRENOPOLIS;30/11/2020;3319,37;0
GO;431203;4;AC PIRENOPOLIS;02/12/2020;1318,6;0
GO;431203;4;AC PIRENOPOLIS;04/12/2020;2408,75;0
GO;431203;4;AC PIRENOPOLIS;08/12/2020;3431,8;0
GO;431203;4;AC PIRENOPOLIS;04/01/2021;2383,87;0
GO;431203;4;AC PIRENOPOLIS;06/01/2021;718,68;0
GO;431203;4;AC PIRENOPOLIS;08/01/2021;1663,53;0
GO;431203;4;AC PIRENOPOLIS;09/11/2020;5530,21;0
GO;431203;4;AC PIRENOPOLIS;11/11/2020;3959,31;0
GO;431203;4;AC PIRENOPOLIS;13/11/2020;3809,41;0
GO;431203;4;AC PIRENOPOLIS;11/12/2020;3648,22;0
GO;431203;4;AC PIRENOPOLIS;15/12/2020;5142,42;0
GO;431203;4;AC PIRENOPOLIS;17/12/2020;6061,07;0
GO;431203;4;AC PIRENOPOLIS;21/12/2020;7094,57;0
GO;431203;4;AC PIRENOPOLIS;23/12/2020;4262,02;0
GO;431203;4;AC PIRENOPOLIS;30/12/2020;4574,16;0
GO;431189;4;AC DAMIANOPOLIS;10/11/2020;201,43;0
GO;431189;4;AC DAMIANOPOLIS;06/11/2020;327,14;0
GO;431189;4;AC DAMIANOPOLIS;11/01/2021;306,57;0
GO;431189;4;AC DAMIANOPOLIS;10/12/2020;331,97;0
GO;431189;4;AC DAMIANOPOLIS;08/12/2020;256,84;0
GO;431189;4;AC DAMIANOPOLIS;04/12/2020;190,34;0
GO;431204;2;AC PLANALTINA DE GOIAS;17/12/2020;1457,8;0
GO;431204;2;AC PLANALTINA DE GOIAS;30/12/2020;1234,5;0
GO;431204;2;AC PLANALTINA DE GOIAS;13/11/2020;1305,61;0
GO;431204;2;AC PLANALTINA DE GOIAS;17/11/2020;1274,66;0
GO;431204;2;AC PLANALTINA DE GOIAS;19/11/2020;1234,11;0
GO;431204;2;AC PLANALTINA DE GOIAS;23/11/2020;1250,9;0
GO;431204;2;AC PLANALTINA DE GOIAS;25/11/2020;1313,65;0
GO;431210;4;AC SITIO D ABADIA;16/11/2020;871,25;0
GO;431210;4;AC SITIO D ABADIA;18/11/2020;945,05;0
GO;431210;4;AC SITIO D ABADIA;27/11/2020;1053,4;0
GO;431210;4;AC SITIO D ABADIA;14/12/2020;1228;0
GO;431210;4;AC SITIO D ABADIA;16/12/2020;1228;0
GO;431210;4;AC SITIO D ABADIA;18/12/2020;1297,6;0
GO;431210;4;AC SITIO D ABADIA;22/12/2020;1297,6;0
GO;431210;4;AC SITIO D ABADIA;24/12/2020;1297,6;0
GO;431210;4;AC SITIO D ABADIA;29/12/2020;1347,6;0
GO;431210;4;AC SITIO D ABADIA;04/01/2021;288,89;0
GO;431210;4;AC SITIO D ABADIA;06/01/2021;288,89;0
GO;431210;4;AC SITIO D ABADIA;12/11/2020;871,25;0
GO;431210;4;AC SITIO D ABADIA;10/11/2020;810,45;0
GO;431210;4;AC SITIO D ABADIA;06/11/2020;801,25;0
GO;431210;4;AC SITIO D ABADIA;19/11/2020;952,05;0
GO;431210;4;AC SITIO D ABADIA;17/11/2020;871,25;0
GO;431210;4;AC SITIO D ABADIA;13/11/2020;871,25;0
GO;431210;4;AC SITIO D ABADIA;11/11/2020;817,45;0
GO;431210;4;AC SITIO D ABADIA;09/11/2020;810,45;0
GO;431201;2;AC NOVO GAMA;07/01/2021;210,16;0
GO;431201;2;AC NOVO GAMA;05/01/2021;325,56;0
GO;431201;2;AC NOVO GAMA;30/12/2020;433,81;0
GO;431201;2;AC NOVO GAMA;23/12/2020;268,61;0
GO;431201;2;AC NOVO GAMA;21/12/2020;263,88;0
GO;431201;2;AC NOVO GAMA;17/12/2020;156,92;0
GO;431201;2;AC NOVO GAMA;02/12/2020;522,45;0
GO;431201;2;AC NOVO GAMA;09/11/2020;485,61;0
GO;431201;2;AC NOVO GAMA;14/12/2020;171,91;0
GO;431201;2;AC NOVO GAMA;10/12/2020;485,15;0
GO;431201;2;AC NOVO GAMA;04/12/2020;211;0
GO;431201;2;AC NOVO GAMA;08/01/2021;60,62;0
GO;431201;2;AC NOVO GAMA;06/01/2021;210,46;0
GO;431201;2;AC NOVO GAMA;04/01/2021;254,66;0
GO;431201;2;AC NOVO GAMA;29/12/2020;348,21;0
GO;431201;2;AC NOVO GAMA;28/12/2020;502,24;0
GO;431201;2;AC NOVO GAMA;24/12/2020;661,35;0
GO;431201;2;AC NOVO GAMA;22/12/2020;283,79;0
GO;431201;2;AC NOVO GAMA;18/12/2020;438,07;0
GO;431201;2;AC NOVO GAMA;16/12/2020;188,66;0
GO;16300114;2;AC BELA VISTA DE GOIAS;30/11/2020;431,31;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;02/12/2020;220,86;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;21/12/2020;297,63;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;23/12/2020;319,6;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;30/12/2020;284,88;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;05/01/2021;368,17;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;07/01/2021;271,67;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;06/11/2020;368,46;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;25/11/2020;250,06;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;07/12/2020;348,21;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;09/12/2020;175,91;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;11/12/2020;262,1;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;15/12/2020;236,38;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;17/12/2020;253,88;200300
GO;16300114;2;AC BELA VISTA DE GOIAS;11/01/2021;233,05;200300
GO;431201;2;AC NOVO GAMA;10/11/2020;387,88;0
GO;431201;2;AC NOVO GAMA;11/01/2021;126,4;0
GO;431201;2;AC NOVO GAMA;15/12/2020;317,56;0
GO;431201;2;AC NOVO GAMA;11/12/2020;233,8;0
GO;431201;2;AC NOVO GAMA;09/12/2020;425,17;0
GO;431201;2;AC NOVO GAMA;07/12/2020;188,65;0
GO;431201;2;AC NOVO GAMA;03/12/2020;210,85;0
GO;431201;2;AC NOVO GAMA;06/11/2020;390,8;0
GO;431194;4;AC IACIARA;04/01/2021;355,17;0
GO;431194;4;AC IACIARA;29/12/2020;416,87;0
GO;431194;4;AC IACIARA;24/12/2020;432,92;0
GO;431194;4;AC IACIARA;22/12/2020;353,22;0
GO;431194;4;AC IACIARA;18/12/2020;240,97;0
GO;431194;4;AC IACIARA;16/12/2020;86,92;0
GO;431194;4;AC IACIARA;08/01/2021;435,12;0
GO;431194;4;AC IACIARA;06/01/2021;382,27;0
GO;431194;4;AC IACIARA;30/12/2020;299,32;0
GO;431194;4;AC IACIARA;23/12/2020;420,92;0
GO;431194;4;AC IACIARA;21/12/2020;305,32;0
GO;431194;4;AC IACIARA;17/12/2020;82,62;0
GO;16300157;1;AC CAMPINAS;24/12/2020;1946,98;200300
GO;16300157;1;AC CAMPINAS;29/12/2020;1975,58;200300
GO;16300157;1;AC CAMPINAS;04/01/2021;1953,82;200300
GO;16300157;1;AC CAMPINAS;06/01/2021;1994,18;200300
GO;16300157;1;AC CAMPINAS;20/11/2020;1973;200300
GO;16300157;1;AC CAMPINAS;24/11/2020;1952,18;200300
GO;16300157;1;AC CAMPINAS;26/11/2020;1953,54;200300
GO;16300157;1;AC CAMPINAS;30/11/2020;1731,57;200300
GO;16300157;1;AC CAMPINAS;02/12/2020;1999,15;200300
GO;16300157;1;AC CAMPINAS;04/12/2020;1946,32;200300
GO;16300157;1;AC CAMPINAS;08/12/2020;1950,04;200300
GO;16300157;1;AC CAMPINAS;10/12/2020;1966,39;200300
GO;16300157;1;AC CAMPINAS;08/01/2021;1957,48;200300
GO;16300157;1;AC CAMPINAS;09/11/2020;1899,45;200300
GO;16300157;1;AC CAMPINAS;11/11/2020;1956,75;200300
GO;16300157;1;AC CAMPINAS;13/11/2020;1825,72;200300
GO;16300157;1;AC CAMPINAS;17/11/2020;1955,13;200300
GO;16300157;1;AC CAMPINAS;19/11/2020;1925,84;200300
GO;431184;2;AC CIDADE OCIDENTAL;17/12/2020;1734,95;0
GO;431184;2;AC CIDADE OCIDENTAL;21/12/2020;1522,65;0
GO;431184;2;AC CIDADE OCIDENTAL;23/12/2020;1432,71;0
GO;431184;2;AC CIDADE OCIDENTAL;30/12/2020;736,91;0
GO;431184;2;AC CIDADE OCIDENTAL;06/11/2020;989,05;0
GO;431184;2;AC CIDADE OCIDENTAL;23/11/2020;1073,06;0
GO;431184;2;AC CIDADE OCIDENTAL;25/11/2020;1262,35;0
GO;431184;2;AC CIDADE OCIDENTAL;03/12/2020;1124,26;0
GO;431184;2;AC CIDADE OCIDENTAL;07/12/2020;1120,39;0
GO;431184;2;AC CIDADE OCIDENTAL;11/12/2020;917,96;0
GO;431184;2;AC CIDADE OCIDENTAL;15/12/2020;778,72;0
GO;431184;2;AC CIDADE OCIDENTAL;10/11/2020;628,45;0
GO;431184;2;AC CIDADE OCIDENTAL;12/11/2020;557,93;0
GO;431184;2;AC CIDADE OCIDENTAL;16/11/2020;1208,36;0
GO;431184;2;AC CIDADE OCIDENTAL;18/11/2020;666,95;0
GO;431184;2;AC CIDADE OCIDENTAL;20/11/2020;790,36;0
GO;431184;2;AC CIDADE OCIDENTAL;27/11/2020;1852,22;0
GO;431184;2;AC CIDADE OCIDENTAL;01/12/2020;1171,98;0
GO;431184;2;AC CIDADE OCIDENTAL;18/12/2020;873,4;0
GO;431184;2;AC CIDADE OCIDENTAL;22/12/2020;895,49;0
GO;431184;2;AC CIDADE OCIDENTAL;24/12/2020;725,61;0
GO;431184;2;AC CIDADE OCIDENTAL;28/12/2020;1244,96;0
GO;431184;2;AC CIDADE OCIDENTAL;29/12/2020;1428,15;0
GO;431184;2;AC CIDADE OCIDENTAL;04/01/2021;1472,88;0
GO;431184;2;AC CIDADE OCIDENTAL;06/01/2021;1295,4;0
GO;431184;2;AC CIDADE OCIDENTAL;08/01/2021;496,1;0
GO;431184;2;AC CIDADE OCIDENTAL;24/11/2020;1433,21;0
GO;431184;2;AC CIDADE OCIDENTAL;26/11/2020;1576,28;0
GO;431184;2;AC CIDADE OCIDENTAL;04/12/2020;1539,86;0
GO;431184;2;AC CIDADE OCIDENTAL;08/12/2020;2046,11;0
GO;431184;2;AC CIDADE OCIDENTAL;10/12/2020;1627,36;0
GO;431184;2;AC CIDADE OCIDENTAL;14/12/2020;1553,2;0
GO;431184;2;AC CIDADE OCIDENTAL;16/12/2020;1126,09;0
GO;431202;4;AC PADRE BERNARDO;29/12/2020;174,52;0
GO;431202;4;AC PADRE BERNARDO;04/01/2021;233,81;0
GO;431202;4;AC PADRE BERNARDO;06/01/2021;251,5;0
GO;431202;4;AC PADRE BERNARDO;08/01/2021;272,67;0
GO;431209;4;AC SIMOLANDIA;16/12/2020;387,56;0
GO;431209;4;AC SIMOLANDIA;14/12/2020;553,25;0
GO;431209;4;AC SIMOLANDIA;10/12/2020;306,7;0
GO;431209;4;AC SIMOLANDIA;08/12/2020;596,85;0
GO;431209;4;AC SIMOLANDIA;04/12/2020;410,64;0
GO;431209;4;AC SIMOLANDIA;26/11/2020;244,49;0
GO;431209;4;AC SIMOLANDIA;24/11/2020;515,64;0
GO;431209;4;AC SIMOLANDIA;30/12/2020;302,34;0
GO;431209;4;AC SIMOLANDIA;23/12/2020;199,54;0
GO;431209;4;AC SIMOLANDIA;21/12/2020;489,09;0
GO;431209;4;AC SIMOLANDIA;02/12/2020;391,91;0
GO;431209;4;AC SIMOLANDIA;30/11/2020;216,11;0
GO;431209;4;AC SIMOLANDIA;19/11/2020;372,33;0
GO;16300122;2;AC SILVANIA;25/11/2020;1396,75;200500
GO;16300122;2;AC SILVANIA;07/12/2020;915,63;200500
GO;16300122;2;AC SILVANIA;09/12/2020;900,48;200500
GO;16300122;2;AC SILVANIA;11/12/2020;406,73;200500
GO;16300122;2;AC SILVANIA;15/12/2020;1351,58;200500
GO;16300122;2;AC SILVANIA;17/12/2020;1634,43;200500
GO;16300122;2;AC SILVANIA;29/12/2020;1479,43;200500
GO;16300122;2;AC SILVANIA;11/11/2020;916,6;200500
GO;16300122;2;AC SILVANIA;13/11/2020;377,85;200500
GO;16300122;2;AC SILVANIA;17/11/2020;311,5;200500
GO;16300122;2;AC SILVANIA;19/11/2020;623,2;200500
GO;16300122;2;AC SILVANIA;23/11/2020;155,1;200500
GO;16300122;2;AC SILVANIA;30/11/2020;811,85;200500
GO;16300122;2;AC SILVANIA;02/12/2020;100,8;200500
GO;16300122;2;AC SILVANIA;04/12/2020;237,53;200500
GO;16300122;2;AC SILVANIA;21/12/2020;369,83;200500
GO;16300122;2;AC SILVANIA;23/12/2020;719,18;200500
GO;16300122;2;AC SILVANIA;30/12/2020;248,18;200500
GO;16300122;2;AC SILVANIA;05/01/2021;76,88;200500
GO;16300122;2;AC SILVANIA;07/01/2021;215,23;200500
GO;431209;4;AC SIMOLANDIA;17/11/2020;592,78;0
GO;431209;4;AC SIMOLANDIA;13/11/2020;208,28;0
GO;431209;4;AC SIMOLANDIA;11/11/2020;592,06;0
GO;431209;4;AC SIMOLANDIA;09/11/2020;555,66;0
GO;431209;4;AC SIMOLANDIA;17/12/2020;308,03;0
GO;431209;4;AC SIMOLANDIA;15/12/2020;284,25;0
GO;431209;4;AC SIMOLANDIA;11/12/2020;343,45;0
GO;431209;4;AC SIMOLANDIA;09/12/2020;222,8;0
GO;431209;4;AC SIMOLANDIA;07/12/2020;410,64;0
GO;431209;4;AC SIMOLANDIA;25/11/2020;186,94;0
GO;431209;4;AC SIMOLANDIA;23/11/2020;570,33;0
GO;431209;4;AC SIMOLANDIA;06/11/2020;485,45;0
GO;431209;4;AC SIMOLANDIA;04/01/2021;462,14;0
GO;431209;4;AC SIMOLANDIA;29/12/2020;388,09;0
GO;431209;4;AC SIMOLANDIA;28/12/2020;374,09;0
GO;431209;4;AC SIMOLANDIA;24/12/2020;199,54;0
GO;431209;4;AC SIMOLANDIA;22/12/2020;596,44;0
GO;431209;4;AC SIMOLANDIA;18/12/2020;346,33;0
GO;431209;4;AC SIMOLANDIA;03/12/2020;439,66;0
GO;16300149;2;AC CALDAS NOVAS;11/12/2020;7623,36;200500
GO;16300149;2;AC CALDAS NOVAS;28/12/2020;6282,97;200500
GO;16300149;2;AC CALDAS NOVAS;07/01/2021;4849,18;200500
GO;16300149;2;AC CALDAS NOVAS;09/11/2020;32723,07;200500
GO;431204;2;AC PLANALTINA DE GOIAS;27/11/2020;1423,21;0
GO;431204;2;AC PLANALTINA DE GOIAS;01/12/2020;1522,03;0
GO;431204;2;AC PLANALTINA DE GOIAS;03/12/2020;1347,41;0
GO;431204;2;AC PLANALTINA DE GOIAS;22/12/2020;1320,93;0
GO;431204;2;AC PLANALTINA DE GOIAS;24/12/2020;1365,4;0
GO;431204;2;AC PLANALTINA DE GOIAS;28/12/2020;1328,15;0
GO;431189;4;AC DAMIANOPOLIS;02/12/2020;293,56;0
GO;431189;4;AC DAMIANOPOLIS;23/11/2020;372,07;0
GO;431189;4;AC DAMIANOPOLIS;07/01/2021;484,17;0
GO;431204;2;AC PLANALTINA DE GOIAS;06/11/2020;1136,61;0
GO;431204;2;AC PLANALTINA DE GOIAS;10/11/2020;1298;0
