DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_ECT
AM;6300227;2;AC BORBA;14/09/2020;498,81;10
AM;6300235;1;AC CAREIRO;14/09/2020;439,2;10
AM;6300243;2;AC CODAJAS;14/09/2020;1083,5;10
AM;6300251;1;AC MANACAPURU;14/09/2020;1737,16;10
AM;6300260;1;AC BENJAMIN CONSTANT;14/09/2020;378,87;10
AM;6300278;2;AC MANICORE;14/09/2020;481,32;10
AM;6300286;1;AC NOVA OLINDA DO NORTE;14/09/2020;150,61;10
AM;6300294;1;AC NOVO ARIPUANA;14/09/2020;23,55;10
AM;6300308;1;AC TAPAUA;14/09/2020;0;10
AM;6300316;1;AC ATALAIA DO NORTE;14/09/2020;361,38;10
AM;6300324;1;AC ITACOATIARA;14/09/2020;1932,16;10
AM;6300341;1;AC CARAUARI;14/09/2020;294;10
AM;6300359;1;AC COARI;14/09/2020;56,07;10
AM;6300367;1;AC FONTE BOA;14/09/2020;58,35;10
AM;6300375;1;AC JUTAI;14/09/2020;349,54;10
AM;6300383;1;AC MARAA;14/09/2020;4107,5;10
AM;6300391;1;AC SANTO ANTONIO DO ICA;14/09/2020;1706,24;10
AM;6300405;1;AC TONANTINS;14/09/2020;253,94;10
AM;6300413;1;AC SÃO PAULO DE OLIVENÇA;14/09/2020;124,89;10
AM;6300812;1;AC SAO SEBASTIAO DO UATUMA;14/09/2020;103,05;10
AM;6300821;1;AC IRANDUBA;14/09/2020;3808,6;10
AM;6300847;1;AC CIDADE NOVA;14/09/2020;3421,79;10
AM;6301096;1;AC NOVO REMANSO;14/09/2020;2737,98;10
AM;6301100;1;AC SHOPPING MILENNIUM CENTER;14/09/2020;5003,15;10
AM;6301169;1;AC STUDIO 5;14/09/2020;1700,47;10
AM;6300022;1;AC NOVO AIRAO;15/09/2020;390,21;10
AM;6300031;1;AC BARCELOS;15/09/2020;681,3;10
AM;6300057;1;AC SALDANHA MARINHO;15/09/2020;4548,47;10
AM;6300065;1;AC PRESIDENTE FIGUEIREDO;15/09/2020;1288,74;10
AM;6300090;1;AC SAO GABRIEL DA CACHOEIRA;15/09/2020;827,24;10
AM;6300138;1;AC BARREIRINHA;15/09/2020;555,37;10
AM;6300154;1;AC MAUES;15/09/2020;414,02;10
AM;6300162;1;AC NHAMUNDA;15/09/2020;505,15;10
AM;6300171;1;AC SILVES;15/09/2020;6184,82;10
AM;6300197;1;AC URUCURITUBA;15/09/2020;1081,9;10
AM;6300201;1;AC ANORI;15/09/2020;27547,86;10
AM;6300219;1;AC AUTAZES;15/09/2020;3237,98;10
AM;6300227;2;AC BORBA;15/09/2020;405,7;10
AM;6300235;1;AC CAREIRO;15/09/2020;524,41;10
AM;6300243;2;AC CODAJAS;15/09/2020;1097,68;10
AM;6300251;1;AC MANACAPURU;15/09/2020;2599,06;10
AM;6300260;1;AC BENJAMIN CONSTANT;15/09/2020;821,02;10
AM;6300286;1;AC NOVA OLINDA DO NORTE;15/09/2020;221,97;10
AM;6300294;1;AC NOVO ARIPUANA;15/09/2020;905,83;10
AM;6300308;1;AC TAPAUA;15/09/2020;0;10
AM;6300316;1;AC ATALAIA DO NORTE;15/09/2020;219,25;10
AM;6300324;1;AC ITACOATIARA;15/09/2020;481,09;10
AM;6300332;1;AC SAO JOSE OPERARIO;15/09/2020;410,64;10
AM;6300341;1;AC CARAUARI;15/09/2020;384,53;10
AM;6300359;1;AC COARI;15/09/2020;77,66;10
AM;6300367;1;AC FONTE BOA;15/09/2020;81,77;10
AM;6300375;1;AC JUTAI;15/09/2020;363,54;10
AM;6300383;1;AC MARAA;15/09/2020;1640,5;10
