DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_ECT
BSB;10300031;1;AC PALACIO DO PLANALTO;11/11/2020;367,94;300
BSB;10300040;1;AC CAMARA DOS DEPUTADOS;11/11/2020;367,49;300
BSB;10300104;1;AC BRAZLANDIA;11/11/2020;993,28;300
BSB;10300112;1;AC EQN 204/404;11/11/2020;1501,16;300
BSB;10300147;1;AC EQS 208/408;11/11/2020;2498,88;300
BSB;10300155;1;AC EQS 104/304;11/11/2020;1020,74;300
BSB;10300171;1;AC GAMA;11/11/2020;2463,5;300
BSB;10300198;1;AC TAGUATINGA CENTRO;11/11/2020;2113,45;300
BSB;10300261;1;AC PLANALTINA - DF;11/11/2020;1779,21;300
BSB;10300287;1;AC GUARA I;11/11/2020;523,25;300
BSB;10300350;1;AC SETOR DE INDÚSTRIAS;11/11/2020;1663,75;300
BSB;10300465;1;AC QUARTEL GENERAL DO EXERCITO;11/11/2020;341,49;300
BSB;10300503;1;AC CEILANDIA CENTRO;11/11/2020;4911,08;300
BSB;10300554;1;AC SENADO FEDERAL;11/11/2020;308,02;300
BSB;10300601;1;AC LAGO SUL;11/11/2020;2420,69;300
BSB;10300635;1;AC SUDOESTE;11/11/2020;2545,08;10
BSB;10300708;1;AC ENCOMENDAS AEROPORTO;11/11/2020;576,63;300
BSB;10300902;1;AC RECANTO DAS EMAS;11/11/2020;2222,1;300
BSB;10300937;1;AC SAO SEBASTIAO;11/11/2020;187,1;300
BSB;10300953;1;AC BRASILIA SHOPPING;11/11/2020;1779,05;300
BSB;10301097;1;AC SANTA MARIA;11/11/2020;739,62;300
BSB;10300031;1;AC PALACIO DO PLANALTO;12/11/2020;123,52;300
BSB;10300040;1;AC CAMARA DOS DEPUTADOS;12/11/2020;457,89;300
BSB;10300091;1;AC RIACHO FUNDO;12/11/2020;2011,93;300
BSB;10300104;1;AC BRAZLANDIA;12/11/2020;919,35;300
BSB;10300112;1;AC EQN 204/404;12/11/2020;1010,86;300
BSB;10300147;1;AC EQS 208/408;12/11/2020;2109,86;300
BSB;10300155;1;AC EQS 104/304;12/11/2020;591,27;300
BSB;10300171;1;AC GAMA;12/11/2020;2276,44;300
BSB;10300180;1;AC SOBRADINHO;12/11/2020;1230,92;300
BSB;10300198;1;AC TAGUATINGA CENTRO;12/11/2020;5211,58;300
BSB;10300261;1;AC PLANALTINA - DF;12/11/2020;1602,17;300
BSB;10300287;1;AC GUARA I;12/11/2020;384,01;300
BSB;10300309;1;AC W3 NORTE 508;12/11/2020;2779,76;300
BSB;10300350;1;AC SETOR DE INDÚSTRIAS;12/11/2020;3444,75;300
BSB;10300465;1;AC QUARTEL GENERAL DO EXERCITO;12/11/2020;417,19;300
BSB;10300473;1;AC CENTRAL BRASILIA;12/11/2020;4704,99;300
BSB;10300503;1;AC CEILANDIA CENTRO;12/11/2020;2096,97;300
BSB;10300554;1;AC SENADO FEDERAL;12/11/2020;336,27;300
BSB;10300601;1;AC LAGO SUL;12/11/2020;2336,87;300
