DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_ECT
PA;61301;2;AC BAIRRO DA PAZ;12/11/2020;1611,88;10
PA;61467;2;AC MORADA NOVA;12/11/2020;293,04;10
PA;234842;1;AC AMERICANO;12/11/2020;0;10
PA;236856;1;AC CIDADE NOVA VI;12/11/2020;3609,76;3500
PA;423880;2;AC ITACAIUNAS;12/11/2020;644,19;300
PA;424713;1;AC CASTANHEIRA;12/11/2020;1963,04;300
PA;28300025;1;AC ABAETETUBA;12/11/2020;3996,26;10
PA;28300033;1;AC ANANINDEUA;12/11/2020;57,12;500
PA;28300041;1;AC MARITUBA;12/11/2020;1198,93;10
PA;28300050;2;AC TUCURUI;12/11/2020;1100,94;10
PA;28300068;2;AC ALENQUER;12/11/2020;2669,94;10
PA;28300076;2;AC ALMEIRIM;12/11/2020;205,71;10
PA;28300084;2;AC ALTAMIRA;12/11/2020;523,09;300000
PA;28300122;1;AC AFUA;12/11/2020;1495,4;500
PA;28300131;1;AC ANAJAS;12/11/2020;572,16;10
PA;28300149;1;AC BAIAO;12/11/2020;362,75;10
PA;28300157;1;AC BENEVIDES;12/11/2020;811,97;500
PA;28300173;1;AC BREVES;12/11/2020;407,29;10
PA;28300181;1;AC BRAGANCA;12/11/2020;1044,76;10
PA;28300190;1;AC CHAVES;12/11/2020;1733,9;500
PA;28300203;1;AC CURRALINHO;12/11/2020;457,47;10
PA;28300211;1;AC CACHOEIRA DO ARARI;12/11/2020;268,69;10
PA;28300220;1;AC BARCARENA;12/11/2020;100,54;10
PA;28300238;1;AC CAMETA;12/11/2020;185,32;10
PA;28300246;1;AC CAPANEMA;12/11/2020;448,79;10
PA;28300254;1;AC CASTANHAL;12/11/2020;1502,74;10
PA;28300262;1;AC IGARAPE MIRI;12/11/2020;356,76;10
PA;28300271;1;AC MELGACO;12/11/2020;324,35;10
PA;28300289;2;AC CONCEICAO DO ARAGUAIA;12/11/2020;190,54;10
PA;28300297;1;AC MUANA;12/11/2020;312,97;10
PA;28300301;1;AC PONTA DE PEDRAS;12/11/2020;470,16;10
PA;28300327;1;AC CURUCA;12/11/2020;584,81;10
PA;28300335;1;AC SALVATERRA;12/11/2020;444,75;10
PA;28300343;1;AC SAO SEBASTIAO DA BOA VISTA;12/11/2020;456,94;10
PA;28300351;1;AC ACARA;12/11/2020;311,99;500
PA;28300360;1;AC AUGUSTO CORREA;12/11/2020;460,66;500
PA;28300378;1;AC BONITO;12/11/2020;352,33;500
PA;28300386;2;AC ITAITUBA;12/11/2020;1710,8;10
PA;28300017;1;AC CENTRAL DE BELEM;12/11/2020;7142,07;10
PA;28301986;1;AC OUTEIRO;11/11/2020;35,74;10
PA;28301978;2;AC BANNACH;11/11/2020;415,83;10
PA;28301960;1;AC CACHOEIRA DO PIRIÁ;11/11/2020;822,5;500
PA;28301935;2;AC CANAA DOS CARAJAS;11/11/2020;1390,06;10
PA;28301927;2;AC SAPUCAIA;11/11/2020;597,17;10
PA;28301919;2;AC PLACAS;11/11/2020;1198,18;10
PA;28301901;1;AC TRACUATEUA;11/11/2020;416,44;10
PA;28301889;2;AC NOVA IPIXUNA;11/11/2020;311,64;10
PA;28301838;2;AC PICARRA;11/11/2020;238,35;10
PA;28301820;2;AC VITORIA DO XINGU;11/11/2020;463,08;10
PA;28301811;2;AC TRAIRAO;11/11/2020;437,73;10
PA;28301803;2;AC NOVO PROGRESSO;11/11/2020;271,52;10
PA;28301781;2;AC PAU D ARCO;11/11/2020;268,56;500
PA;28301773;2;AC PALESTINA DO PARA;11/11/2020;550,82;10
PA;28301765;2;AC NOVO REPARTIMENTO;11/11/2020;551,59;10
PA;28301757;2;AC GOIANESIA DO PARA;11/11/2020;401,49;500
PA;28301749;2;AC ELDORADO DOS CARAJAS;11/11/2020;822,99;10
PA;28301731;2;AC CUMARU DO NORTE;11/11/2020;377,47;10
PA;28301722;2;AC BREU BRANCO;11/11/2020;1858,74;10
PA;28301714;2;AC AGUA AZUL DO NORTE;11/11/2020;422,89;500
PA;28301706;1;AC ULIANOPOLIS;11/11/2020;246,97;10
PA;28301692;1;AC TERRA ALTA;11/11/2020;175,09;500
PA;28301684;1;AC SANTA LUZIA DO PARA;11/11/2020;402,6;10
PA;28301676;1;AC NOVA ESPERANCA DO PIRIA;11/11/2020;501,54;500
PA;28301668;1;AC SANTA BARBARA DO PARA;11/11/2020;270,39;10
PA;28301625;2;AC BOM JESUS DO TOCANTINS;11/11/2020;220,72;10
PA;28301617;2;AC BREJO GRANDE DO ARAGUAIA;11/11/2020;204,45;10
PA;28301587;1;AC GARRAFAO DO NORTE;11/11/2020;259,47;10
PA;28301579;2;AC MEDICILANDIA;11/11/2020;431,32;10
PA;28301561;2;AC SAO GERALDO DO ARAGUAIA;11/11/2020;391,77;10
PA;28301552;1;AC CONCORDIA DO PARA;11/11/2020;312,36;10
PA;28301544;2;AC PACAJA;11/11/2020;278,37;10
PA;28301536;1;AC SAO JOAO DE PIRABAS;11/11/2020;256,76;10
PA;28301528;2;AC OURILANDIA DO NORTE;11/11/2020;213,85;10
PA;28301510;2;AC CURIONOPOLIS;11/11/2020;486,59;10
PA;28301501;2;AC DOM ELISEU;11/11/2020;91,93;10
PA;28301498;1;AC VILA DOS CABANOS;11/11/2020;655,23;10
PA;28301480;2;AC SANTA MARIA DAS BARREIRAS;11/11/2020;381,75;10
PA;28301471;2;AC URUARA;11/11/2020;171,06;10
PA;28301455;2;AC TUCUMA;11/11/2020;350,69;10
PA;28301447;2;AC XINGUARA;11/11/2020;1858,64;10
PA;28301439;2;AC CARAJAS;11/11/2020;315,97;10
PA;28301421;2;AC ANAPU;11/11/2020;106,3;10
PA;28301412;2;AC FLORESTA DO ARAGUAIA;11/11/2020;628,25;10
PA;28301366;2;AC RIO MARIA;11/11/2020;345,19;500
PA;28301293;2;AC MONTE DOURADO;11/11/2020;669,15;10
PA;28301285;2;AC SAO FELIX DO XINGU;11/11/2020;536,63;10
PA;28301269;2;AC PORTO TROMBETAS;11/11/2020;171,58;10
PA;28301242;1;AC PEDREIRA;11/11/2020;1507,25;1000
PA;28301234;1;AC JURUNAS;11/11/2020;153,04;10
PA;28301226;1;AC SANTA CRUZ DO ARARI;11/11/2020;225,75;10
PA;28301218;1;AC OEIRAS DO PARA;11/11/2020;344,49;10
PA;28301200;1;AC LIMOEIRO DO AJURU;11/11/2020;346,74;10
PA;28301153;1;AC OUREM;11/11/2020;243,8;500
PA;28301145;2;AC CASTELO DOS SONHOS;11/11/2020;114,9;10
PA;28301137;2;AC RONDON DO PARA;11/11/2020;184,3;700
PA;28301129;2;AC PRAINHA;11/11/2020;297,38;10
PA;28301111;1;AC BUJARU;11/11/2020;295,26;500
PA;28301102;2;AC MOJUI DOS CAMPOS;11/11/2020;351,99;10
PA;28301099;2;AC ORIXIMINA;11/11/2020;1228,7;10
PA;28301081;2;AC JURUTI;11/11/2020;313,02;10
PA;28301072;2;AC TERRA SANTA;11/11/2020;581,97;10
PA;28301064;2;AC FARO;11/11/2020;128,74;10
PA;28301056;2;AC RUROPOLIS;11/11/2020;258,32;10
PA;28301048;2;AC AVEIRO;11/11/2020;482,37;10
PA;28301030;2;AC SENADOR JOSE PORFIRIO;11/11/2020;463,45;10
PA;28301021;2;AC PORTO DE MOZ;11/11/2020;361,43;10
PA;28301013;1;AC TELEGRAFO SEM FIO;11/11/2020;2484,66;10
PA;28300998;1;AC NAZARE;11/11/2020;1739,76;10
PA;28300980;2;AC GURUPA;11/11/2020;187,55;10
PA;28300971;1;AC CABANAGEM;11/11/2020;3010,11;700
PA;28300963;1;AC PARAGOMINAS;11/11/2020;310,37;10
PA;28300947;1;AC CAPITAO POCO;11/11/2020;34,25;500
PA;28300939;2;AC SAO JOAO DO ARAGUAIA;11/11/2020;62,52;10
PA;28300921;2;AC ABEL FIGUEIREDO;11/11/2020;183,47;10
PA;28300912;1;AC QUATIPURU;11/11/2020;150,76;10
PA;28300904;2;AC BRASIL NOVO;11/11/2020;311,02;10
PA;28300891;2;AC SAO DOMINGOS DO ARAGUAIA;11/11/2020;715,57;10
PA;28300882;2;AC ITUPIRANGA;11/11/2020;388,93;10
PA;28300874;2;AC BARREIRA DOS CAMPOS;11/11/2020;385,97;10
PA;28300866;2;AC SANTANA DO ARAGUAIA;11/11/2020;417,95;700
