DR;COD_ORGAO;REOP;ORGAO;DT_MOVIMENTO;SALDO_ATUAL;LIMITEVLR_LIMITE_ECT
TO;61596;1;AC RODOVIÁRIA - TO;12/11/2020;485,75;10
TO;61757;1;AC VIA PALMAS BRASIL;12/11/2020;398,38;1500
TO;75300311;2;AC ANANAS;12/11/2020;132,46;10
TO;75300320;2;AC ARAGUAINA;12/11/2020;576,58;10
TO;75300338;2;AC ARAGUATINS;12/11/2020;606,79;10
TO;75300346;2;AC ARAPOEMA;12/11/2020;0;10
TO;75300354;2;AC AXIXA DO TOCANTINS;12/11/2020;292,08;10
TO;75300923;2;AC CARMOLANDIA;12/11/2020;0;10
TO;75300931;2;AC DARCINÓPOLIS;12/11/2020;285,29;10
TO;75300940;2;AC ESPERANTINA;12/11/2020;5,28;10
TO;75300958;2;AC FORTALEZA DO TABOCAO;12/11/2020;232,08;10
TO;75300966;2;AC ITAPIRATINS;12/11/2020;382,24;10
TO;75300974;1;AC JAU DO TOCANTINS;12/11/2020;540,98;10
TO;75300982;1;AC LAGOA DA CONFUSAO;12/11/2020;161,33;10
TO;75300991;1;AC LAGOA DO TOCANTINS;12/11/2020;175,23;10
TO;61596;1;AC RODOVIÁRIA - TO;13/11/2020;461,59;10
TO;61757;1;AC VIA PALMAS BRASIL;13/11/2020;105,28;1500
TO;75300095;1;AC MIRACEMA DO TOCANTINS;13/11/2020;156,24;10
TO;75300109;1;AC MIRANORTE;13/11/2020;82,09;10
TO;75300117;1;AC MONTE DO CARMO;13/11/2020;230,94;10
TO;75300125;1;AC NOVO ACORDO;13/11/2020;497,16;10
TO;75300133;1;AC PARAISO DO TOCANTINS;13/11/2020;1198,49;10
TO;75300141;1;AC PEIXE;13/11/2020;45,29;10
TO;75300150;1;AC FIGUEIROPOLIS;13/11/2020;43,24;10
TO;75300168;1;AC PIUM;13/11/2020;463,87;10
TO;75300176;1;AC TOCANTINIA;13/11/2020;41,4;10
TO;75300214;1;AC CONCEICAO DO TOCANTINS;13/11/2020;193,95;10
TO;75300222;1;AC DIANOPOLIS;13/11/2020;363,3;10
TO;75300231;1;AC NATIVIDADE;13/11/2020;488,35;10
